Age,MOut,FOut,MIn,FIn
0,0.043434372,0.04136527,0.046482678,0.044302892
5,0.034986145,0.033726073,0.037562518,0.03590346
10,0.031067507,0.029910052,0.033110915,0.030480644
15,0.042460676,0.038735344,0.036220739,0.032805747
20,0.074057987,0.057113811,0.077936955,0.061244657
25,0.063044272,0.045744505,0.072511717,0.056461242
30,0.05060104,0.037804609,0.05516306,0.042052871
35,0.043704046,0.031998243,0.046061252,0.033944077
40,0.039754381,0.028406554,0.04032842,0.028494616
45,0.034616239,0.026175174,0.034685204,0.024571006
50,0.030100973,0.02379583,0.025953958,0.020027368
55,0.0242254,0.019967878,0.018663791,0.01437204
60,0.017232945,0.014066055,0.011051505,0.009046102
65,0.009932628,0.008297873,0.006054954,0.005434927
70,0.005424524,0.004608339,0.003666881,0.003553047
75,0.003006995,0.003166891,0.002126499,0.002848251
80,0.001890111,0.00238889,0.001402327,0.00238323
85,0.000766093,0.001324509,0.000682744,0.001504051
90,0.000472528,0.000625264,0.000276106,0.000627293
95,0,0,0,0
100,0,0,0,0
